created_time,Engaged_Fans,Engaged_Users,Impressions,Negative_Feedback,NonViral_impressions,NonViral_Reach,Post_Activity,Post_Activity_Unique,Post_Clicks,Unique_Post_Clicks,Post_reactions_anger,Post_reactions_haha,Post_reactions_like,Post_reactions_love,Post_reactions_sorry,Post_reactions_wow,Reach
17/10/2018 23:00,1597,4408,106810,2,66238,49294,3695,3168,1785,1639,0,2,2797,44,0,0,78871
17/10/2018 22:30,2707,10141,219661,6,94975,70576,8885,7652,4318,4025,1,3,6450,123,1,4,161544
17/10/2018 22:00,2566,9810,179901,6,112843,84567,7972,7367,3626,3245,2,11,6281,127,0,3,132697
17/10/2018 21:30,1456,4046,103443,4,76312,58293,3878,3250,1501,1355,0,0,2988,66,1,2,77724
17/10/2018 21:00,3578,10337,249752,3,118119,89672,8463,7013,5474,4795,3,2,5669,161,3,2,184368
17/10/2018 20:00,645,1320,50854,1,41752,30805,1098,961,543,476,0,1,837,23,4,0,36740
17/10/2018 19:30,2811,8603,208018,5,97833,72548,6824,5827,4436,3941,1,6,4386,145,1,3,152148
17/10/2018 19:00,3893,9659,240944,6,119540,91413,8127,7063,4238,3726,0,3,5707,144,1,1,171748
17/10/2018 18:30,1480,5480,113707,1,57720,43671,4534,3934,2558,2181,0,3,3313,83,3,0,83275
17/10/2018 18:00,4010,11171,258094,15,114607,87919,9974,8600,4925,4408,0,5,6742,214,12,1,192877
17/10/2018 17:30,9516,34410,575812,9,216131,164969,28793,24987,14970,13924,1,15,22149,638,17,24,421626
17/10/2018 17:00,5573,14104,291126,9,118785,90513,9989,8218,9034,7726,2,4,6343,238,5,8,214637
17/10/2018 16:30,2144,5508,151202,3,73542,54896,4050,3607,2679,2341,0,76,2542,78,3,7,110231
17/10/2018 16:00,977,1837,67122,1,48634,34519,1370,1141,1039,863,1,100,816,38,0,2,46447
17/10/2018 15:00,1808,4235,123047,4,66978,48263,3121,2598,2204,1959,1,15,2122,62,3,4,88964
17/10/2018 14:00,3450,9261,234937,5,102990,76494,7792,6575,4628,4173,2,6,5197,158,5,3,168555
17/10/2018 13:00,6684,19706,415045,5,147391,112271,16660,14109,9329,8329,2,15,11743,446,23,8,297675
17/10/2018 12:00,3708,10753,270113,6,112560,83458,8514,7109,6272,5313,1,8,5306,216,9,8,193098
17/10/2018 11:00,2044,7603,162346,6,87420,66097,5011,4714,4034,3708,0,10,3984,70,2,1,122310
17/10/2018 10:30,4188,12408,282026,9,103148,72281,10504,8844,6199,5433,0,7,7261,281,0,7,195761
17/10/2018 09:30,12332,39094,788151,26,205732,149468,34613,29911,14421,12836,0,18,25971,1171,38,9,556027
17/10/2018 09:00,3975,11619,250196,6,97704,73363,9783,7830,6131,5677,1,6,6681,273,7,4,185213
17/10/2018 08:30,3381,7841,192721,7,89368,65547,5475,4267,5269,4635,2,9,3292,168,21,8,145422
17/10/2018 07:30,6496,16507,379529,15,127468,95255,11422,8829,11426,9932,0,8,6637,415,23,7,277653
17/10/2018 07:00,2784,7563,174647,7,75721,55528,6099,5442,3429,3178,0,4,4314,98,8,3,125299
17/10/2018 06:00,4097,10957,254506,5,83720,60314,10137,8037,5699,5145,0,6,6927,276,3,1,187583
17/10/2018 05:45,9332,42088,634108,26,284585,216535,36763,33293,14905,13343,1,36,30340,1073,2,28,494789
17/10/2018 05:30,1988,5141,124136,6,47228,33514,3663,2855,3146,2659,2,0,2266,62,0,0,88852
17/10/2018 05:15,8767,45374,712670,24,238636,180534,37395,32889,19102,16887,1,6,30946,627,2,36,500255
17/10/2018 05:00,4635,11094,269659,9,94413,68918,9330,7572,6153,5322,0,3,5942,289,3,2,191644
16/10/2018 23:01,909,2099,66043,0,42407,32189,1679,1382,1044,934,0,1,1126,37,0,1,48895
16/10/2018 22:30,1870,4946,135065,0,73982,52357,3509,2871,2915,2598,0,5,2134,73,2,1,95083
16/10/2018 22:00,1714,4578,139192,3,84111,63377,3610,2971,2394,2225,2,2,2433,49,0,1,102216
16/10/2018 21:30,4754,17829,397391,7,151819,112262,13637,11775,8643,8009,1,4,9697,180,20,1,280592
16/10/2018 21:00,1069,3572,83661,2,61953,45895,2549,2219,1831,1621,0,3,1812,31,2,5,58726
16/10/2018 20:30,9470,33835,640192,18,180636,135443,27402,23139,17494,15281,1,5,20123,667,8,16,472556
16/10/2018 20:00,3802,12848,315696,6,114866,85006,9224,7369,7698,6920,4,22,5790,199,26,20,225251
16/10/2018 19:30,4478,11650,274392,4,124596,91517,8188,6879,6570,6139,2,8,5468,260,13,4,193777
16/10/2018 19:00,1392,3543,102147,3,60726,44348,2707,2237,2072,1820,0,1,1868,67,0,0,71419
