Project ID,Project Type,Country,Phase,Start Date,Actual_Duration,Actual_Cost,Planned_Duration,Planned_Cost,Var_Deliverables
A,Marketing - Launch of new product,Bielorussie,Phase 1 - Planning,6/26/17 9:00,38,48000,30.5,50000,-0.03
A,Marketing - Launch of new product,Bielorussie,Phase 2 - Initiation,8/3/17 9:00,28.5,96000,23,100000,-0.03
1,Marketing - Launch of new product,Equateur,Phase 3 - Implementation,9/12/17 9:00,21.5,192000,22.5,150000,-0.05
2,Marketing - Launch of new product,France,Phase 3 - Implementation,10/9/17 9:00,47.5,273000,45,300000,-0.08
3,Marketing - Launch of new product,Liban,Phase 3 - Implementation,12/13/17 9:00,29.5,189000,22.5,150000,-0.05
4,Marketing - Launch of new product,Egypte,Phase 3 - Implementation,8/7/17 9:00,20.5,184500,22.5,150000,-0.01
5,Marketing - Launch of new product,Afrique du Sud,Phase 4 - Manufacturing,7/5/17 9:00,18.5,445500,18,450000,-0.02
6,Marketing - Launch of new product,Albanie,Phase 4 - Manufacturing,7/9/17 9:00,21.5,553500,18,450000,-0.13
7,Marketing - Launch of new product,Hollande,Phase 1 - Planning,9/18/17 9:00,79.5,99000,61,100000,-0.14
7,Marketing - Launch of new product,Hollande,Phase 2 - Initiation,12/7/17 9:00,60,198000,46,200000,-0.14
8,Marketing - Launch of new product,Allemagne,Phase 1 - Planning,6/12/17 9:00,59.5,101000,61,100000,-0.06
8,Marketing - Launch of new product,Allemagne,Phase 2 - Initiation,8/11/17 9:00,45,202000,46,200000,-0.06
9,Marketing - Launch of new product,Belgique,Phase 4 - Manufacturing,8/2/17 9:00,41,1071000,36,900000,0
10,Marketing - Launch of new product,Benin,Phase 4 - Manufacturing,6/29/17 9:00,13.5,279000,12,300000,-0.12
11,Marketing - Launch of new product,Italie,Phase 3 - Implementation,12/4/17 9:00,48,336000,45,300000,-0.13
12,Marketing - Launch of new product,Hongrie,Phase 4 - Manufacturing,11/6/17 9:00,39,409500,36,450000,-0.06
13,Marketing - Launch of new product,Malaysie,Phase 4 - Manufacturing,1/3/18 9:00,23.5,409500,18,450000,0
A,Marketing - Launch of new product,Bielorussie,Phase 4 - Manufacturing,7/24/17 9:00,22.5,432000,18,450000,-0.03
1,Marketing - Launch of new product,Equateur,Phase 4 - Manufacturing,9/12/17 9:00,17,576000,18,450000,-0.05
14,Marketing - Launch of new product,Croatie,Phase 3 - Implementation,8/9/17 9:00,22,184500,22.5,150000,-0.04
4,Marketing - Launch of new product,Egypte,Phase 4 - Manufacturing,8/7/17 9:00,16.5,553500,18,450000,-0.01
15,Marketing - Launch of new product,Burkina Faso,Phase 4 - Manufacturing,7/10/17 9:00,11.5,303000,12,300000,-0.09
16,Marketing - Launch of new product,Cote d'Ivoire,Phase 4 - Manufacturing,8/4/17 9:00,14.5,390000,12,300000,-0.02
2,Marketing - Launch of new product,France,Phase 4 - Manufacturing,10/8/17 9:00,38,819000,36,900000,-0.08
3,Marketing - Launch of new product,Liban,Phase 4 - Manufacturing,12/13/17 9:00,23.5,567000,18,450000,-0.05
4,Marketing - Launch of new product,Egypte,Phase 1 - Planning,7/17/17 9:00,27.5,61500,30.5,50000,-0.01
4,Marketing - Launch of new product,Egypte,Phase 2 - Initiation,8/14/17 9:00,21,123000,23,100000,-0.01
15,Marketing - Launch of new product,Burkina Faso,Phase 3 - Implementation,7/11/17 9:00,14,101000,15,100000,-0.09
9,Marketing - Launch of new product,Belgique,Phase 3 - Implementation,8/3/17 9:00,51,357000,45,300000,0
